,path,object_id,object_name,comment,zone_id,variable_name,raw_unit,type,required,available,data_exist
0,/lotte_ds/1/DE-119,,,,,,,,,,False
1,/lotte_ds/1/DE-119/AI-1,AI-1,냉온수기 #1 가스계량기_보정부피,,,,,,,,True
2,/lotte_ds/1/DE-119/AI-2,AI-2,냉온수기 #2 가스계량기_보정부피,,,,,,,,True
