,timestamp_local,T_cws1,T_cwr1,T_cws3,T_cwr3,T_chws,T_chwr,i_ct1,i_ct2,i_ct3,i_ctpump21,i_ctpump22,i_ctpump23,i_ctpump11,i_ctpump21,P_cw1,P_cw2,P_ct21,P_ct22,P_ct31,P_ct32,P_chw21,P_chw22,P_chw23,P_chw12,P_cw11,P_cw12,P_boiler_gas,P_ch1_gas,P_ch3_gas,T_ch3_chwr,T_ch3_chws,T_ch3_cws,T_ch3_cwr,T_ch1_chwr,T_ch1_chws,T_ch1_cws,T_ch1_cwr,V_ct1_cws,V_ct3_cws,V_ch1_chws,V_ch3_chws,T_oa,T_ahu_ma_ahu4,T_ahu_sa_ahu4,RH_ahu_sa_ahu4,T_ahu_ra_ahu4,RH_ahu_ra_ahu4,O_ahu_hv_ahu4,O_ahu_cv_ahu4,O_ahu_oa_ahu4,O_ahu_ea_ahu4,O_ahu_ra_ahu4,check_inverter_sp_ahu4,T_ahu_sp_ahu4,check_sf_sta_ahu4,check_sf_loc_ahu4,check_rf_sta_ahu4,check_rf_loc_ahu4,check_ef_sta_ahu4,check_sf_sst_ahu4,check_rf_sst_ahu4,check_ef_stt_ahu4,check_season_transition2_ahu4,P_ahu_elec1_ahu4,P_ahu_elec2_ahu4,V_ahu_hcw_ahu4,cum_ahu_hcw_ahu4,T_ahu_hcwr_ahu4,T_ahu_hcws_ahu4,V_ahu_sa_ahu4,V_ahu_ea_ahu4,T_ahu_ma_ahu6,T_ahu_sa_ahu6,RH_ahu_sa_ahu6,T_ahu_ra_ahu6,RH_ahu_ra_ahu6,O_ahu_hv_ahu6,O_ahu_oa_ahu6,O_ahu_ea_ahu6,O_ahu_ra_ahu6,check_inverter_sp_ahu6,T_ahu_sp_ahu6,check_sf_sta_ahu6,check_sf_loc_ahu6,check_rf_sta_ahu6,check_rf_loc_ahu6,check_ef_sta_ahu6,check_sf_sst_ahu6,check_rf_sst_ahu6,check_ef_stt_ahu6,O_ahu_hum_ahu6,P_ahu_elec1_ahu6,P_ahu_elec2_ahu6,V_ahu_hcw_ahu6,cum_ahu_hcw_ahu6,T_ahu_hcwr_ahu6,T_ahu_hcws_ahu6,V_ahu_sa_ahu6,V_ahu_ea_ahu6,T_ahu_ma_ahu7,T_ahu_sa_ahu7,RH_ahu_sa_ahu7,T_ahu_ra_ahu7,RH_ahu_ra_ahu7,O_ahu_hv_ahu7,O_ahu_cv_ahu7,O_ahu_oa_ahu7,O_ahu_ea_ahu7,O_ahu_ra_ahu7,check_inverter_sp_ahu7,T_ahu_sp_ahu7,check_sf_sta_ahu7,check_sf_loc_ahu7,check_rf_sta_ahu7,check_rf_loc_ahu7,check_ef_sta_ahu7,check_sf_sst_ahu7,check_rf_sst_ahu7,check_ef_sst_ahu7,O_ahu_hum_ahu7,P_ahu_elec1_ahu7,P_ahu_elec2_ahu7,V_ahu_hcw_ahu7,cum_ahu_hcw_ahu7,T_ahu_hcwr_ahu7,T_ahu_hcws_ahu7,V_ahu_sa_ahu7,V_ahu_ea_ahu7,T_ahu_ma_ahu5,T_ahu_sa_ahu5,RH_ahu_sa_ahu5,T_ahu_ra_ahu5,RH_ahu_ra_ahu5,O_ahu_hv_ahu5,O_ahu_cv_ahu5,O_ahu_oa_ahu5,O_ahu_ra_ahu5,T_ahu_sp_ahu5,check_sf_sta_ahu5,check_sf_loc_ahu5,check_rf_sta_ahu5,check_rf_loc_ahu5,check_ef_sta_ahu5,check_sf_sst_ahu5,check_rf_sst_ahu5,check_ef_sst_ahu5,check_inverter_transition_ahu5,P_ahu_elec1_ahu5,P_ahu_elec2_ahu5,V_ahu_hcw_ahu5,cum_ahu_hcw_ahu5,T_ahu_hcwr_ahu5,T_ahu_hcws_ahu5,V_ahu_sa_ahu5,V_ahu_ea_ahu5
10,2024-10-29 00:10:00+09:00,25.1,25.6,23.299999,21.200001,22.200001,18.700001,0,0,0,0,0,0,0,0,0,0,9113,10016,0,0,11012,0,233,0,2441,1901,0,0,0,24.5,25,24.800001,25.300001,23.7,24.7,24.2,24.9,0,0,0,0,17.771673,16.799999,18.498169,57.142857,17.429792,58.18071,0.29981501,0.29981501,49.989498,49.989498,49.989498,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.9661,20.3335,0,0,19.654646,18.742369,0.57264957,18.28602,0.5412088,0,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,19.2041,19.2915,0,0,20.6,19.505495,0.58394382,21.275946,0.51404152,0.29981501,0.29981501,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.5513,19.1392,0,0,19.799999,21.978022,0.52594627,22.161173,0.48656898,0.29981501,0.29981501,0.49989498,0.49989498,24,0,1,0,1,0,0,0,0,0,0,0,0,0,20.8967,21.0972,0,0
11,2024-10-29 00:11:00+09:00,25.1,25.6,23.299999,21.200001,22.1,18.700001,0,0,0,0,0,0,0,0,0,0,9113,10016,0,0,11012,0,233,0,2441,1901,0,0,0,24.5,25,24.800001,25.300001,23.7,24.7,24.2,24.9,0,0,0,0,17.680098,16.700001,18.559219,57.203907,17.429792,58.150185,0.29981501,0.29981501,49.989498,49.989498,49.989498,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.9596,20.25,0,0,19.606253,18.650793,0.57173382,18.255495,0.5412088,0,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,19.3279,19.3335,0,0,20.6,19.505495,0.58394382,21.275946,0.51404152,0.29981501,0.29981501,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.5437,19.209,0,0,19.9,21.978022,0.52594627,22.130648,0.48687424,0.29981501,0.29981501,0.49989498,0.49989498,24,0,1,0,1,0,0,0,0,0,0,0,0,0,20.9206,21.0557,0,0
12,2024-10-29 00:12:00+09:00,25.1,25.6,23.299999,21.200001,22.200001,18.700001,0,0,0,0,0,0,0,0,0,0,9113,10016,0,0,11012,0,233,0,2441,1901,0,0,0,24.5,25,24.800001,25.300001,23.7,24.7,24.2,24.9,0,0,0,0,17.741148,17.200001,18.559219,57.234432,17.429792,58.18071,0.29981501,0.29981501,49.989498,49.989498,49.989498,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.9736,20.3335,0,0,19.654646,18.86447,0.57203907,18.316544,0.5412088,0,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,19.1847,19.3472,0,0,20.6,19.505495,0.58424908,21.184372,0.51404152,0.29981501,0.29981501,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.5642,19.1948,0,0,19.9,21.978022,0.52442001,22.130648,0.48687424,0.29981501,0.29981501,0.49989498,0.49989498,24,0,1,0,1,0,0,0,0,0,0,0,0,0,20.8927,21.0698,0,0
13,2024-10-29 00:13:00+09:00,25.200001,25.6,23.299999,21.200001,22.200001,18.700001,0,0,0,0,0,0,0,0,0,0,9113,10016,0,0,11012,0,233,0,2441,1901,0,0,0,24.5,25,24.800001,25.300001,23.7,24.7,24.2,24.9,0,0,0,0,17.619047,17.200001,18.559219,57.234432,17.429792,58.18071,0.29981501,0.29981501,49.989498,49.989498,49.989498,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.9786,20.2505,0,0,19.606253,18.833944,0.57234432,18.255495,0.54151405,0,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,19.1897,19.25,0,0,20.6,19.47497,0.58272282,21.275946,0.51465202,0.29981501,0.29981501,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.5541,19.1528,0,0,19.9,21.978022,0.52442001,22.130648,0.48687424,0.29981501,0.29981501,0.49989498,0.49989498,24,0,1,0,1,0,0,0,0,0,0,0,0,0,20.8781,21.1113,0,0
14,2024-10-29 00:14:00+09:00,25.200001,25.6,23.299999,21.200001,22.200001,18.700001,0,0,0,0,0,0,0,0,0,0,9113,10016,0,0,11012,0,233,0,2441,1901,0,0,0,24.5,25,24.800001,25.300001,23.7,24.7,24.2,24.9,0,0,0,0,17.619047,16.700001,18.559219,57.203907,17.429792,58.18071,0.29981501,0.29981501,49.989498,49.989498,49.989498,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.9623,20.3472,0,0,19.654646,18.681318,0.57173382,18.28602,0.54273502,0,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,19.1839,19.3613,0,0,20.6,19.505495,0.58302807,21.24542,0.51404152,0.29981501,0.29981501,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.5506,19.2085,0,0,20,21.916971,0.52472527,22.161173,0.48534798,0.29981501,0.29981501,0.49989498,0.49989498,24,0,1,0,1,0,0,0,0,0,0,0,0,0,20.8867,21.0972,0,0
15,2024-10-29 00:15:00+09:00,25.200001,25.6,23.200001,21.200001,22.200001,18.700001,0,0,0,0,0,0,0,0,0,0,9113,10016,0,0,11012,0,233,0,2441,1901,0,0,0,24.5,25,24.800001,25.300001,23.7,24.7,24.2,24.9,0,0,0,0,17.680098,17.200001,18.528694,57.326008,17.368742,58.211235,0.29981501,0.29981501,49.989498,49.989498,49.989498,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.9715,20.3472,0,0,19.654646,18.711843,0.57234432,18.255495,0.54242981,0,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,19.1897,19.3472,0,0,20.6,19.505495,0.58302807,21.275946,0.51465202,0.29981501,0.29981501,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.545,19.1528,0,0,19.9,21.947496,0.52411476,22.161173,0.48534798,0.29981501,0.29981501,0.49989498,0.49989498,24,0,1,0,1,0,0,0,0,0,0,0,0,0,20.8847,21.0698,0,0
16,2024-10-29 00:16:00+09:00,25.200001,25.6,23.299999,21.200001,22.1,18.700001,0,0,0,0,0,0,0,0,0,0,9113,10016,0,0,11012,0,233,0,2441,1901,0,0,0,24.5,25,24.800001,25.300001,23.7,24.7,24.2,24.9,0,0,0,0,17.680098,17.200001,18.528694,57.326008,17.368742,58.18071,0.29981501,0.29981501,49.989498,49.989498,49.989498,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.9556,20.2642,0,0,19.703041,18.86447,0.57051281,18.316544,0.5412088,0,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,19.2045,19.3613,0,0,20.6,19.505495,0.58302807,21.275946,0.51465202,0.29981501,0.29981501,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.5746,19.1807,0,0,20,22.008547,0.52411476,22.161173,0.48534798,0.29981501,0.29981501,0.49989498,0.49989498,24,0,1,0,1,0,0,0,0,0,0,0,0,0,20.9,21.0278,0,0
17,2024-10-29 00:17:00+09:00,25.1,25.6,23.299999,21.200001,22.200001,18.700001,0,0,0,0,0,0,0,0,0,0,9113,10016,0,0,11012,0,233,0,2441,1901,0,0,0,24.5,25,24.800001,25.300001,23.7,24.7,24.2,24.9,0,0,0,0,17.710623,17.1,18.559219,57.448109,17.460318,58.150185,0.29981501,0.29981501,49.989498,49.989498,49.989498,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.9517,20.2778,0,0,19.654646,18.711843,0.57081806,18.255495,0.54181931,0,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,19.1931,19.3057,0,0,20.6,19.505495,0.58272282,21.24542,0.51404152,0.29981501,0.29981501,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.5587,19.2227,0,0,19.9,21.978022,0.52411476,22.161173,0.48534798,0.29981501,0.29981501,0.49989498,0.49989498,24,0,1,0,1,0,0,0,0,0,0,0,0,0,20.8894,21.0972,0,0
18,2024-10-29 00:18:00+09:00,25.1,25.6,23.5,21.200001,22.1,18.700001,0,0,0,0,0,0,0,0,0,0,9113,10016,0,0,11012,0,233,0,2441,1901,0,0,0,24.5,25,24.800001,25.300001,23.7,24.7,24.2,24.9,0,0,0,0,17.802198,17.1,18.559219,57.448109,17.429792,58.211235,0.29981501,0.29981501,49.989498,49.989498,49.989498,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.9571,20.2505,0,0,19.654646,18.742369,0.57081806,18.28602,0.54242981,0,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,19.2158,19.3198,0,0,20.6,19.505495,0.58333332,21.24542,0.51404152,0.29981501,0.29981501,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.5672,19.2222,0,0,19.9,21.978022,0.52442001,22.161173,0.48565323,0.29981501,0.29981501,0.49989498,0.49989498,24,0,1,0,1,0,0,0,0,0,0,0,0,0,20.8781,21.0835,0,0
19,2024-10-29 00:19:00+09:00,25.200001,25.6,23.5,21.200001,22.1,18.700001,0,0,0,0,0,0,0,0,0,0,9113,10016,0,0,11012,0,233,0,2441,1901,0,0,0,24.5,25,24.800001,25.300001,23.7,24.7,24.2,24.9,0,0,0,0,17.802198,16.700001,18.559219,57.448109,17.429792,58.211235,0.29981501,0.29981501,49.989498,49.989498,49.989498,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.9571,20.3198,0,0,19.654646,18.803419,0.57020756,18.255495,0.54273502,0,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,19.1897,19.2642,0,0,20.6,19.53602,0.58302807,21.24542,0.51312576,0.29981501,0.29981501,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,19.5472,19.1953,0,0,19.9,22.008547,0.52258854,22.191698,0.48504272,0.29981501,0.29981501,0.49989498,0.49989498,24,0,1,0,1,0,0,0,0,0,0,0,0,0,20.8874,21.0278,0,0
